ID_Empleado,Departamento,Manager_ID,Es_Jefe,Tipo_Contrato,Modalidad,Turno,Fecha_Ingreso,Fecha_Salida,Estado,Antiguedad_Meses,Edad,Genero,Nivel_Educativo,Categoria_Profesional,Seniority,Banda_Salarial,Puntuacion_Desempeno,Horas_Extra_Mensuales,Absentismo_Dias_Año,Training_Completado_Pct,Satisfaccion_Onboarding,Engagement_Score,Motivo_Salida
EMP-166,Reproduccion Asistida,EMP-008,No,Interinidad,Presencial,Mañana,13/10/2019,04/06/2021,Baja,,38,Mujer,Medicina,Enfermero,Senior,Alta,7.5,21,7,68,9.0,5.9,Voluntaria
EMP-154,Reproduccion Asistida,EMP-019,No,Indefinido,Turno_Rotatorio,Mañana,2022-06-18,,Activo,35,50,Mujer,Medicina,Enfermero,Junior,Media,6.7,7,9,74,4.5,9.6,
EMP-259,Pediatria,EMP-001,No,Indefinido,Presencial,Mañana,22/02/2019,,Activo,75,51,Mujer,Medicina,Enfermero,Adjunto,Alta,9.1,3,2,62,6.6,7.3,
EMP-076,URGENCIAS,EMP-002,No,Temporal,Turno_Rotatorio,Noche,2021-01-15,,Activo,52,58,Mujer,Medicina,Administrativo,Junior,Media,6.9,38,22,34,6.9,2.3,
EMP-240,Radiología,EMP-017,No,Guardia,Presencial,Mañana,11/05/2018,,Activo,85,53,Mujer,FP_Sanitario,Administrativo,Senior,Alta,6.2,22,8,41,NULL,5.5,
EMP-022,Urgencias,EMP-008,No,Interinidad,turno_rotatorio,Noche,2018-12-09,,Activo,78,62,Masculino,Master,Medico,Junior,Media,6.3,32,15,48,3.7,5.1,
EMP-058,RRHH,EMP-001,No,Indefinido,PRESENCIAL,Mañana,11/07/2022,,Activo,34,37,Hombre,Grado_Enfermeria,Administrativo,Jefe_de_Servicio,Baja,9.1,18,5,50,NULL,6.8,
EMP-010,Pediatría,,Si,Interinidad,PRESENCIAL,Mañana,05/12/2019,,Activo,66,28,Femenino,Medicina,Medico,Senior,Media,7.7,19,7,62,8.8,6.0,
EMP-292,Ginecologia y Obstetricia,EMP-006,No,Interinidad,Presencial,Noche,05/01/2020,23/06/2022,Baja,,42,Hombre,Master,Medico,Senior,Media,4.9,18,12,65,NULL,3.9,Despido
EMP-003,Pediatria,,Si,Temporal,Presencial,Mañana,02/06/2019,,Activo,72,28,Hombre,Medicina,Medico,Adjunto,Media,6.5,7,7,71,5.2,7.6,
EMP-059,Radiologia,EMP-012,No,Indefinido,Presencial,Mañana,26/09/2019,,Activo,68,52,Mujer,Grado_Enfermeria,Auxiliar,Junior,Baja,6.9,28,6,27,NULL,7.2,
EMP-032,Cirugia,EMP-006,No,Temporal,Presencial,Tarde,13/05/2021,,Activo,48,53,Hombre,Medicina,Medico,Adjunto,Media,9.9,10,1,31,8.3,6.0,
EMP-030,Pediatria,EMP-012,No,Temporal,Presencial,Tarde,17/07/2018,,Activo,82,45,Mujer,Master,Medico,Senior,Alta,6.3,1,2,75,6.1,8.2,
EMP-023,Med. Interna,EMP-004,No,Indefinido,Turno_Rotatorio,Tarde,24/08/2021,,Activo,45,41,Mujer,Medicina,Enfermero,Adjunto,Baja,8.1,7,3,99,5.7,9.0,
EMP-088,Ginecologia y Obstetricia,EMP-020,No,Indefinido,Guardia_24h,Noche,2024-07-02,,Activo,10,34,M,Medicina,Enfermero,Adjunto,Media,5.8,16,12,66,10.0,4.6,
EMP-054,Urgencias,EMP-007,No,Indefinido,Turno_Rotatorio,Tarde,28/02/2020,,Activo,63,25,Mujer,Grado_Enfermeria,Tecnico,Adjunto,Media,5.7,27,23,64,7.4,5.3,
EMP-117,Traumatologia,EMP-002,No,Indefinido,Presencial,Tarde,19/02/2019,,Activo,75,54,Mujer,Medicina,Tecnico,Adjunto,Media,7.7,14,3,23,3.4,9.2,
EMP-246,Traumatología,EMP-016,No,Interinidad,Presencial,Mañana,18/01/2018,,Activo,88,34,Mujer,Master,Medico,Jefe_de_Servicio,Directiva,9.5,3,5,70,8.5,10.0,
EMP-277,Reproduccion Asistida,EMP-001,No,Indefinido,Guardia_24h,Mañana,2022-04-10,,Activo,37,31,Femenino,Medicina,Tecnico,Senior,Alta,7.6,16,6,58,9.6,6.7,
EMP-299,Laboratorio,EMP-015,No,Indefinido,Presencial,Mañana,22/05/2018,,Activo,84,40,Mujer,Grado_Enfermeria,Enfermero,Junior,Baja,8.0,13,6,79,8.2,6.5,
EMP-060,Ginecologia y Obs.,EMP-013,No,Interinidad,Presencial,Mañana,2023-06-07,04/11/2023,Baja,,32,Mujer,Medicina,Medico,Junior,Baja,8.1,7,5,100,5.9,6.6,
EMP-181,Ginecologia y Obstetricia,EMP-016,No,Guardia,Turno_Rotatorio,Tarde,2018-12-19,,Activo,77,45,Hombre,Doctorado,Enfermero,Adjunto,Media,7.9,10,7,88,6.2,7.4,
EMP-115,Reproduccion Asistida,EMP-010,No,Guardia,Turno_Rotatorio,Rotatorio,27/10/2024,,Activo,6,46,Hombre,Master,Medico,Senior,Baja,7.2,20,13,100,8.0,4.0,
EMP-096,Medicina Interna,EMP-001,No,Temporal,Turno_Rotatorio,Rotatorio,30/05/2024,,Activo,11,32,Hombre,Doctorado,Medico,Senior,Alta,7.6,9,5,61,9.2,6.8,
EMP-067,Ginecologia y Obstetricia,EMP-005,No,Indefinido,Presencial,Noche,22/05/2023,,Activo,23,46,Mujer,Medicina,Medico,Adjunto,Baja,5.0,27,16,75,5.9,4.6,
EMP-097,Radiologia,EMP-014,No,Indefinido,Presencial,Mañana,13/01/2021,,Activo,52,52,Mujer,Master,Administrativo,Adjunto,Media,8.1,14,12,41,6.5,6.4,
EMP-260,Ginecología y Obstetricia,EMP-009,No,Temporal,Turno_Rotatorio,Noche,15/07/2020,11/01/2021,Baja,,40,Femenino,Master,Medico,Senior,Media,6.9,26,18,67,7.0,5.1,Fin_Contrato
EMP-170,medicina interna,EMP-015,No,Temporal,Presencial,Tarde,20/04/2020,11/11/2021,Baja,,41,Hombre,Medicina,Auxiliar,Senior,Media,8.2,8,0,40,NULL,7.6,Voluntaria
EMP-011,Oncologia,,Si,Interinidad,PRESENCIAL,Tarde,05/08/2018,,Activo,82,39,Hombre,Master,Enfermero,Senior,Media,7.0,12,9,30,3.9,5.6,
EMP-134,Urgencias,EMP-019,No,Interinidad,Guardia_24h,Noche,16/07/2021,04/10/2023,Baja,,29,Mujer,Grado_Enfermeria,Administrativo,Junior,Media,6.8,29,11,50,8.2,3.9,Despido
EMP-113,Cirugia,EMP-009,No,Interinidad,Presencial,Mañana,04/11/2023,,Activo,18,55,Hombre,Doctorado,Medico,Junior,Media,6.0,10,11,14,4.7,6.3,
EMP-201,Administracion,EMP-004,No,Indefinido,Presencial,Rotatorio,15/06/2020,,Activo,59,43,M,Grado_Enfermeria,Administrativo,Senior,Alta,7.8,16,4,97,5.7,6.2,
EMP-019,Radiologia,,Si,Temporal,Turno_Rotatorio,Mañana,19/02/2021,,Activo,51,31,Mujer,Doctorado,Enfermero,Adjunto,Media,7.2,16,11,17,5.0,6.5,
EMP-179,RRHH,EMP-013,No,Indefinido,Presencial,Mañana,2021-08-09,,Activo,45,30,Hombre,Master,Administrativo,Adjunto,Baja,6.7,9,5,71,4.8,7.1,
EMP-090,ginecologia y obstetricia,EMP-009,No,Interinidad,Presencial,Mañana,2021-09-28,20/07/2023,Baja,,51,Mujer,Master,Tecnico,Adjunto,Alta,5.4,2,2,71,NULL,7.6,Jubilacion
EMP-106,Urgencias,EMP-011,No,Interinidad,Guardia_24h,Tarde,2019-02-23,04/03/2023,Baja,,41,Hombre,Master,Medico,Adjunto,Baja,4.5,30,11,48,4.7,4.1,Voluntaria
EMP-186,oncologia,EMP-006,No,Indefinido,Presencial,Rotatorio,02/01/2019,20/07/2021,Baja,,37,Hombre,Medicina,Enfermero,Senior,Alta,8.5,20,9,51,7.2,6.7,Jubilacion
EMP-197,Administracion,EMP-012,No,Temporal,Presencial,Mañana,30/04/2019,,Activo,73,32,hombre,Master,Auxiliar,Jefe_de_Servicio,Media,6.4,11,5,66,7.9,8.1,
EMP-138,Urgencias,EMP-018,No,Temporal,Guardia_24h,Mañana,10/02/2022,01/01/2024,Baja,,57,Hombre,Medicina,Medico,Senior,Alta,4.7,43,14,34,6.0,4.4,Voluntaria
EMP-172,Oncología,EMP-020,No,Indefinido,Guardia_24h,Tarde,06/09/2018,,Activo,81,26,Mujer,Master,Enfermero,Senior,Alta,5.4,5,7,55,10.0,7.1,
EMP-295,URGENCIAS,EMP-012,No,Interinidad,Guardia_24h,Mañana,15/05/2023,,Activo,24,51,Mujer,Medicina,Medico,Senior,Alta,4.6,28,22,29,3.1,5.5,
EMP-226,Urgencias,EMP-014,No,Indefinido,Presencial,Tarde,01/07/2024,,Activo,10,34,Mujer,Medicina,Enfermero,Adjunto,Baja,6.9,28,15,42,4.6,4.6,
EMP-245,reproduccion asistida,EMP-010,No,Indefinido,PRESENCIAL,Rotatorio,11/10/2024,,Activo,7,52,mujer,Medicina,Medico,Senior,Media,7.8,11,10,59,6.1,5.5,
EMP-105,Med. Interna,EMP-018,No,Indefinido,Presencial,Mañana,18/11/2020,,Activo,54,49,Hombre,Master,Enfermero,Adjunto,Media,5.4,7,4,80,7.2,7.2,
EMP-198,Cirugia,EMP-001,No,Indefinido,Presencial,Noche,28/07/2024,,Activo,9,44,Hombre,Medicina,Medico,Adjunto,Media,8.6,8,4,62,NULL,7.4,
EMP-028,Laboratorio,EMP-018,No,Indefinido,turno_rotatorio,Rotatorio,12/07/2019,,Activo,70,40,Hombre,Medicina,Tecnico,Jefe_de_Servicio,Baja,8.6,14,2,74,6.2,7.0,
EMP-009,traumatologia,,Si,Indefinido,Turno_Rotatorio,Rotatorio,2023-11-13,,Activo,18,55,Mujer,Master,Administrativo,Adjunto,Directiva,7.5,4,5,51,5.9,6.4,
EMP-006,urgencias,,Si,Temporal,Guardia_24h,Rotatorio,26/12/2021,,Activo,41,53,Hombre,Grado_Enfermeria,Medico,Junior,Baja,7.8,38,17,24,2.8,4.9,
EMP-210,Pediatria,EMP-018,No,Temporal,PRESENCIAL,Mañana,02/05/2022,24/10/2023,Baja,,32,H,Medicina,Tecnico,Senior,Alta,6.7,9,5,83,5.9,6.7,Fin_Contrato
EMP-252,Reproduccion Asistida,EMP-017,No,Temporal,Turno_Rotatorio,Tarde,2020-05-01,08/08/2024,Baja,,56,Femenino,FP_Sanitario,Tecnico,Junior,Alta,7.6,4,9,85,NULL,4.8,Voluntaria
EMP-104,Radiologia,EMP-012,No,Indefinido,Presencial,Rotatorio,19/07/2020,,Activo,58,55,Mujer,Master,Administrativo,Senior,Alta,7.4,21,5,39,8.1,7.4,
EMP-140,Cirugía,EMP-010,No,Interinidad,presencial,Tarde,02/12/2022,,Activo,29,44,Hombre,Master,Enfermero,Senior,Media,7.3,15,6,25,6.8,9.7,
EMP-063,Traumatologia,EMP-017,No,Interinidad,presencial,Noche,15/11/2022,04/11/2024,Baja,,36,Hombre,Master,Medico,Junior,Baja,7.9,10,3,100,5.6,6.4,Voluntaria
EMP-196,Traumatologia,EMP-019,No,Temporal,Turno_Rotatorio,Mañana,08/07/2021,,Activo,46,55,Mujer,Master,Medico,Junior,Directiva,7.5,10,6,90,5.4,6.3,
EMP-008,Traumatologia,,Si,Guardia,Presencial,Tarde,07/12/2019,,Activo,66,43,Mujer,Medicina,Medico,Senior,Media,8.7,16,0,53,5.0,7.3,
EMP-219,Pediatria,EMP-001,No,Interinidad,Guardia 24h,Tarde,30/09/2020,,Activo,56,46,Hombre,Master,Medico,Adjunto,Baja,8.1,0,3,47,NULL,8.0,
EMP-080,Administracion,EMP-020,No,Indefinido,Presencial,Tarde,25/12/2018,,Activo,77,34,Hombre,Master,Administrativo,Adjunto,Baja,8.6,8,7,69,5.4,6.6,
EMP-236,Medicina Interna,EMP-019,No,Indefinido,Presencial,Mañana,02/12/2022,,Activo,29,27,Hombre,Doctorado,Medico,Senior,Alta,7.4,0,5,81,7.2,5.7,
EMP-037,oncologia,EMP-019,No,Temporal,Guardia_24h,Mañana,14/07/2021,04/02/2023,Baja,,34,Hombre,Medicina,Medico,Adjunto,Baja,7.7,8,4,61,6.5,6.9,
EMP-223,Ginecología y Obstetricia,EMP-005,No,Temporal,Presencial,Noche,05/11/2020,,Activo,54,35,Mujer,Master,Administrativo,Junior,Media,8.0,19,11,86,6.5,6.7,
EMP-092,Pediatria,EMP-012,No,Indefinido,Turno_Rotatorio,Rotatorio,20/08/2021,18/12/2021,Baja,,26,No_binario,Master,Medico,Adjunto,Media,6.3,1,3,75,8.0,6.8,Fin_Contrato
EMP-129,medicina interna,EMP-011,No,Temporal,turno_rotatorio,Rotatorio,01/11/2023,,Activo,18,53,Mujer,Medicina,Tecnico,Junior,Media,7.0,4,1,87,8.5,6.5,
EMP-128,Reproduccion Asistida,EMP-009,No,Guardia,Presencial,Mañana,07/08/2022,27/07/2024,Baja,,32,Mujer,Grado_Enfermeria,Administrativo,Adjunto,Alta,6.5,6,4,84,10.0,4.9,Voluntaria
EMP-039,Laboratorio,EMP-006,No,Indefinido,Presencial,Mañana,07/01/2020,,Activo,64,48,Mujer,Master,Medico,Adjunto,Baja,8.0,8,6,84,5.5,7.0,
EMP-258,Radiologia,EMP-014,No,Interinidad,Presencial,Tarde,13/06/2023,03/05/2025,Baja,,27,Mujer,Master,Enfermero,Jefe_de_Servicio,Directiva,7.2,12,10,31,6.2,5.3,Despido
EMP-021,Reproduccion Asistida,EMP-009,No,Interinidad,Turno_Rotatorio,Noche,09/06/2020,,Activo,59,29,Hombre,Medicina,Enfermero,Senior,Alta,7.2,4,7,84,6.9,4.5,
EMP-224,Ginecologia y Obstetricia,EMP-008,No,Guardia,guardia_24h,Mañana,08/05/2018,22/01/2021,Baja,,43,Mujer,Master,Medico,Junior,Baja,9.6,0,7,59,5.4,5.7,Despido
EMP-042,laboratorio,EMP-010,No,Temporal,presencial,Rotatorio,30/05/2023,,Activo,23,57,mujer,Master,Enfermero,Jefe_de_Servicio,Media,7.3,13,4,62,7.4,7.8,
EMP-082,Reproduccion Asistida,EMP-015,No,Indefinido,PRESENCIAL,Mañana,13/04/2020,,Activo,61,30,Mujer,Master,Tecnico,Senior,Alta,6.9,13,12,51,6.7,5.6,
EMP-228,Urgencias,EMP-011,No,Guardia,Turno_Rotatorio,Rotatorio,2023-12-11,,Activo,17,54,Mujer,FP_Sanitario,Auxiliar,Jefe_de_Servicio,Media,6.7,43,15,25,6.1,4.5,
EMP-264,Ginecologia y Obstetricia,EMP-019,No,Interinidad,Guardia_24h,Tarde,15/04/2019,,Activo,73,27,Mujer,Doctorado,Medico,Senior,Media,6.5,7,3,51,7.2,6.9,
EMP-243,Reproduccion Asistida,EMP-010,No,Temporal,Turno_Rotatorio,Rotatorio,09/08/2019,25/05/2022,Baja,,54,Mujer,Medicina,Tecnico,Adjunto,Baja,7.9,19,5,72,NULL,6.0,Voluntaria
EMP-203,Ginecologia y Obstetricia,EMP-014,No,Guardia,Turno_Rotatorio,Mañana,2022-02-24,,Activo,39,28,Femenino,Doctorado,Tecnico,Junior,Media,6.7,13,7,70,8.3,6.6,
EMP-274,Ginecología y Obstetricia,EMP-006,No,Guardia,Turno_Rotatorio,Noche,04/12/2019,,Activo,66,42,Mujer,Master,Medico,Senior,Media,7.8,29,21,91,NULL,3.7,
EMP-044,Urgencias,EMP-017,No,Indefinido,Guardia_24h,Tarde,07/02/2023,,Activo,27,62,Mujer,Master,Enfermero,Jefe_de_Servicio,Directiva,7.7,22,17,55,5.3,2.6,
EMP-122,Pediatría,EMP-002,No,Interinidad,Turno_Rotatorio,Mañana,2024-05-30,,Activo,11,28,Hombre,Medicina,Medico,Adjunto,Media,8.4,15,5,71,8.8,6.5,
EMP-150,Cirugia,EMP-018,No,Interinidad,Presencial,Tarde,30/06/2024,,Activo,10,60,Mujer,Master,Medico,Adjunto,Media,7.2,0,4,17,5.4,4.9,
EMP-155,Traumatologia,EMP-011,No,Indefinido,Turno_Rotatorio,Rotatorio,12/08/2021,23/04/2025,Baja,,52,Hombre,Medicina,Medico,Senior,Alta,8.9,12,3,68,7.8,6.7,Jubilacion
EMP-178,Traumatologia,EMP-019,No,Guardia,Presencial,Tarde,07/02/2023,,Activo,27,47,No_binario,Master,Medico,Adjunto,Baja,5.9,9,10,86,NULL,9.0,
EMP-221,Traumatologia,EMP-004,No,Indefinido,Turno_Rotatorio,Tarde,2021-06-27,,Activo,47,51,Mujer,Medicina,Enfermero,Adjunto,Baja,8.0,6,2,79,6.0,6.3,
EMP-123,Laboratorio,EMP-015,No,Indefinido,Turno_Rotatorio,Mañana,2024-06-29,26/03/2025,Baja,,33,Femenino,Master,Tecnico,Adjunto,Baja,6.6,9,3,89,NULL,7.7,Fin_Contrato
EMP-286,Radiologia,EMP-011,No,Indefinido,Turno_Rotatorio,Mañana,28/01/2019,,Activo,76,56,Mujer,Grado_Enfermeria,Tecnico,Adjunto,Media,6.7,17,7,12,6.8,6.0,
EMP-262,Pediatria,EMP-004,No,Indefinido,Presencial,Mañana,2021-01-06,,Activo,52,35,Hombre,Master,Medico,Adjunto,Media,6.6,16,9,72,8.8,5.7,
EMP-102,Traumatologia,EMP-006,No,Indefinido,Presencial,Noche,2024-08-12,09/04/2025,Baja,,38,Hombre,Master,Medico,Senior,Media,8.0,10,9,85,4.8,7.0,Voluntaria
EMP-169,Cirugía,EMP-020,No,Indefinido,presencial,Rotatorio,28/06/2020,,Activo,59,32,Hombre,Master,Tecnico,Adjunto,Media,8.4,6,6,29,5.6,7.6,
EMP-133,Reproduccion Asistida,EMP-020,No,Interinidad,Guardia_24h,Mañana,05/11/2019,,Activo,67,52,Mujer,Doctorado,Tecnico,Adjunto,Baja,6.7,23,6,69,8.2,6.7,
EMP-190,Pediatria,EMP-009,No,Indefinido,Presencial,Mañana,2020-10-06,02/08/2021,Baja,,25,Mujer,Medicina,Medico,Senior,Alta,6.8,13,4,45,8.5,6.0,Voluntaria
EMP-078,Pediatría,EMP-003,No,Indefinido,Presencial,Mañana,09/10/2022,27/12/2024,Baja,,58,Mujer,Medicina,Auxiliar,Jefe_de_Servicio,Baja,6.3,10,9,97,5.9,6.9,Voluntaria
EMP-124,Ginecologia y Obstetricia,EMP-010,No,Indefinido,Turno_Rotatorio,Tarde,02/11/2022,,Activo,30,59,Mujer,Medicina,Medico,Junior,Media,6.9,17,7,70,NULL,4.8,
EMP-056,Urgencias,EMP-019,No,Interinidad,Guardia_24h,Rotatorio,26/04/2021,,Activo,49,44,Mujer,Grado_Enfermeria,Medico,Adjunto,Baja,6.4,30,19,32,6.0,2.0,
EMP-018,Urgencias,,Si,Temporal,Guardia_24h,Tarde,10/06/2021,27/12/2023,Baja,,29,hombre,Master,Medico,Adjunto,Baja,5.3,23,14,59,4.9,3.3,Fin_Contrato
EMP-005,Administracion,,Si,Indefinido,Presencial,Tarde,28/04/2021,,Activo,49,45,Mujer,FP_Sanitario,Administrativo,Senior,Baja,7.4,5,5,65,9.2,8.0,
EMP-143,Medicina Interna,EMP-011,No,Indefinido,Presencial,Rotatorio,08/03/2019,,Activo,75,47,Mujer,Medicina,Auxiliar,Adjunto,Baja,6.1,13,0,44,10.0,7.4,
EMP-225,Pediatria,EMP-012,No,Indefinido,Turno_Rotatorio,Tarde,20/02/2021,,Activo,51,48,Mujer,Medicina,Enfermero,Senior,Media,8.3,18,8,71,NULL,4.2,
EMP-031,Pediatria,EMP-007,No,Temporal,Presencial,Noche,01/09/2018,18/05/2021,Baja,,40,Mujer,Master,Tecnico,Adjunto,Baja,8.3,8,7,72,5.9,7.7,Voluntaria
EMP-294,Radiologia,EMP-010,No,Indefinido,Presencial,Mañana,17/01/2020,,Activo,64,44,Femenino,Medicina,Enfermero,Adjunto,Media,7.2,4,8,43,NULL,5.2,
EMP-234,Ginecologia y Obstetricia,EMP-011,No,Interinidad,Presencial,Mañana,16/06/2024,13/03/2025,Baja,,32,Mujer,Master,Medico,Senior,Media,6.2,6,5,77,6.2,7.9,Voluntaria
EMP-142,Ginecologia y Obstetricia,EMP-001,No,Guardia,Turno_Rotatorio,Rotatorio,26/05/2022,,Activo,35,33,M,Doctorado,Medico,Senior,Alta,5.9,13,6,86,7.1,5.3,
EMP-265,Ginecologia y Obstetricia,EMP-005,No,Indefinido,Guardia_24h,Noche,12/07/2023,,Activo,22,60,mujer,Medicina,Enfermero,Adjunto,Media,3.2,19,9,81,NULL,6.2,
EMP-052,Med. Interna,EMP-003,No,Temporal,PRESENCIAL,Mañana,26/11/2020,21/03/2022,Baja,,33,Mujer,Master,Medico,Junior,Alta,6.6,9,0,92,9.0,7.5,Fin_Contrato
EMP-261,Pediatria,EMP-020,No,Indefinido,Presencial,Tarde,16/02/2022,07/03/2024,Baja,,54,Mujer,Doctorado,Enfermero,Jefe_de_Servicio,Directiva,8.9,8,11,62,6.7,6.0,
EMP-285,laboratorio,EMP-016,No,Indefinido,Guardia_24h,Noche,01/02/2023,,Activo,27,60,Mujer,Medicina,Enfermero,Junior,Media,5.0,6,0,81,NULL,7.1,
EMP-247,Traumatologia,EMP-016,No,Indefinido,presencial,Mañana,20/04/2019,30/11/2022,Baja,,56,Hombre,Medicina,Tecnico,Adjunto,Alta,7.7,3,7,58,7.5,6.1,Voluntaria
EMP-112,Traumatologia,EMP-016,No,Temporal,Guardia_24h,Mañana,21/12/2022,18/08/2023,Baja,,41,Mujer,Medicina,Medico,Adjunto,Media,6.5,14,6,69,7.5,7.5,Despido
EMP-229,Cirugia,EMP-005,No,Indefinido,Turno_Rotatorio,Rotatorio,16/02/2018,07/03/2020,Baja,,44,Mujer,Master,Medico,Senior,Directiva,8.9,15,4,19,NULL,6.9,Voluntaria
EMP-279,Reproducción Asistida,EMP-005,No,Temporal,Guardia_24h,Tarde,26/04/2021,,Activo,49,40,Mujer,FP_Sanitario,Medico,Junior,Baja,8.7,9,10,100,5.8,4.0,
EMP-173,Cirugia,EMP-007,No,Indefinido,Turno_Rotatorio,Tarde,06/11/2024,06/03/2025,Baja,,45,Mujer,Medicina,Medico,Senior,Alta,8.7,3,7,15,7.8,7.6,Voluntaria
EMP-231,Medicina Interna,EMP-002,No,Indefinido,Presencial,Rotatorio,07/02/2023,,Activo,27,34,Mujer,Medicina,Medico,Adjunto,Alta,6.6,4,2,72,7.5,5.6,
EMP-291,Laboratorio,EMP-007,No,Temporal,Presencial,Tarde,02/01/2018,,Activo,89,56,Hombre,Master,Medico,Adjunto,Media,9.1,11,5,61,NULL,7.4,
EMP-041,administracion,EMP-015,No,Temporal,Presencial,Tarde,13/05/2023,,Activo,24,60,Hombre,Master,Administrativo,Senior,Alta,9.1,7,4,96,7.6,8.4,
EMP-192,Medicina Interna,EMP-019,No,Indefinido,Turno_Rotatorio,Tarde,06/09/2020,05/12/2020,Baja,,48,mujer,Medicina,Medico,Adjunto,Baja,6.9,0,1,68,8.5,5.8,
EMP-276,Laboratorio,EMP-017,No,Indefinido,Presencial,Tarde,18/03/2023,13/12/2023,Baja,,47,Mujer,FP_Sanitario,Tecnico,Junior,Baja,6.4,15,7,57,3.6,8.3,Voluntaria
EMP-282,Ginecologia y Obstetricia,EMP-005,No,Interinidad,Presencial,Tarde,31/08/2020,,Activo,57,58,Mujer,Master,Medico,Senior,Directiva,5.7,12,3,83,7.3,4.9,
EMP-268,Cirugia,EMP-003,No,Indefinido,Turno_Rotatorio,Mañana,09/08/2018,,Activo,82,27,Hombre,Master,Medico,Senior,Media,8.0,8,10,24,7.5,5.6,
EMP-015,administracion,,Si,Indefinido,Turno_Rotatorio,Noche,16/11/2020,,Activo,54,36,Hombre,FP_Sanitario,Administrativo,Adjunto,Media,7.9,12,0,66,7.4,6.6,
EMP-193,Administracion,EMP-018,No,Indefinido,Presencial,Rotatorio,21/07/2020,,Activo,58,34,Mujer,Master,Auxiliar,Jefe_de_Servicio,Baja,9.4,10,3,69,7.7,6.0,
EMP-017,traumatologia,,Si,Indefinido,Presencial,Mañana,2018-10-31,24/03/2020,Baja,,26,Masculino,Medicina,Medico,Adjunto,Media,8.2,6,0,98,8.4,8.6,Voluntaria
EMP-139,ginecologia y obstetricia,EMP-016,No,Indefinido,Presencial,Tarde,23/02/2021,04/03/2025,Baja,,39,Hombre,Master,Enfermero,Adjunto,Baja,10.0,8,1,58,8.9,4.9,Fin_Contrato
EMP-289,Radiologia,EMP-009,No,Indefinido,Presencial,Noche,30/09/2024,29/12/2024,Baja,,51,Hombre,Medicina,Administrativo,Senior,Media,6.5,18,4,30,5.5,5.4,Voluntaria
EMP-118,Ginecologia y Obstetricia,EMP-018,No,Guardia,Presencial,Tarde,22/03/2023,,Activo,25,62,hombre,Master,Medico,Adjunto,Media,8.1,2,6,85,8.1,7.5,
EMP-130,URGENCIAS,EMP-015,No,Indefinido,Guardia_24h,Noche,2021-06-14,,Activo,47,33,Hombre,Master,Medico,Jefe_de_Servicio,Alta,5.3,15,7,45,NULL,4.8,
EMP-070,Traumatologia,EMP-003,No,Indefinido,presencial,Rotatorio,22/07/2018,,Activo,82,38,H,Medicina,Medico,Junior,Media,7.6,10,6,66,6.1,7.4,
